Akaa, Kylmäkosken kirkko
Uusikaupunki, Kalannin Pyhän Olavin kirkko
Uusikaupunki, Lokalahden kirkko
Uusikaupunki, Pyhämaan uhrikirkko
Uusikaupunki, Pyhämaan uusi kirkko
Uusikaupunki, Uudenkaupungin uusi kirkko
Uusikaupunki, Uudenkaupungin vanha kirkko
Vaasa, Pyhän Nikolaoksen kirkko
Vaasa, Vaasan kirkko
Valkeakoski, Sääksmäen kirkko
Valtimo, Valtimon kirkko
Vantaa, Vantaan Pyhän Laurin kirkko
Varkaus, Varkauden pääkirkko
Vehmaa, Pyhän Margareetan kirkko
Veteli, Vetelin kirkko
Vihti, Vihdin kirkko
Vihti, Vihdin Pyhän Birgitan kirkon rauniot
Viitasaari, Viitasaaren kirkko
Vimpeli, Vimpelin Pyöreä kirkko
Virrat, Virtain kirkko
Vöyri, Oravaisten kirkko
Ylöjärvi, Kurun kirkko
Ylöjärvi, Ylöjärven kirkko
Ähtäri, Honkiniemen kirkko
Ähtäri, Ähtärin kirkko
Äänekoski, Konginkankaan kirkko
Äänekoski, Sumiaisten kirkko
